mag,rho,eff_rd
18.6,17.783,89.16667
18.8,17.783,90.83333
19.0,17.783,90.0
19.2,17.783,91.66667
19.4,17.783,89.16667
19.6,17.783,95.0
19.8,17.783,94.16667
20.0,17.783,88.33333
20.2,17.783,83.33333
20.4,17.783,80.83333
20.6,17.783,80.0
20.8,17.783,70.83333
21.0,17.783,59.16667
21.2,17.783,51.66667
21.4,17.783,32.5
21.6,17.783,15.0
21.8,17.783,11.66667
22.0,17.783,10.83333
22.2,17.783,9.16667
22.4,17.783,5.0
16.2,25.119,90.83333
16.4,25.119,95.0
16.6,25.119,92.5
16.8,25.119,92.5
17.0,25.119,92.5
17.2,25.119,98.33333
17.4,25.119,95.0
17.6,25.119,95.0
17.8,25.119,90.0
18.0,25.119,95.83333
18.2,25.119,94.16667
18.4,25.119,95.83333
18.6,25.119,96.66667
18.8,25.119,95.0
19.0,25.119,93.33333
19.2,25.119,95.0
19.4,25.119,89.16667
19.6,25.119,90.83333
19.8,25.119,92.5
20.0,25.119,81.66667
20.2,25.119,90.83333
20.4,25.119,87.5
20.6,25.119,85.83333
20.8,25.119,64.16667
21.0,25.119,58.33333
21.2,25.119,41.66667
21.4,25.119,25.83333
21.6,25.119,20.0
21.8,25.119,7.5
22.0,25.119,6.66667
22.2,25.119,6.66667
22.4,25.119,4.16667
16.2,39.811,95.83333
16.4,39.811,96.66667
16.6,39.811,93.33333
16.8,39.811,93.33333
17.0,39.811,94.16667
17.2,39.811,95.0
17.4,39.811,93.33333
17.6,39.811,91.66667
17.8,39.811,94.16667
18.0,39.811,95.83333
18.2,39.811,93.33333
18.4,39.811,95.83333
18.6,39.811,91.66667
18.8,39.811,93.33333
19.0,39.811,90.83333
19.2,39.811,91.66667
19.4,39.811,93.33333
19.6,39.811,85.83333
19.8,39.811,91.66667
20.0,39.811,93.33333
20.2,39.811,86.66667
20.4,39.811,84.16667
20.6,39.811,75.83333
20.8,39.811,66.66667
21.0,39.811,60.83333
21.2,39.811,40.83333
21.4,39.811,16.66667
21.6,39.811,15.83333
21.8,39.811,10.83333
