mag,rho,eff_rd
18.0,3548.134,96.875
18.2,3548.134,93.75
18.4,3548.134,92.5
18.6,3548.134,95.625
18.8,3548.134,96.875
19.0,3548.134,97.5
19.2,3548.134,96.25
19.4,3548.134,96.875
19.6,3548.134,91.875
19.8,3548.134,86.875
20.0,3548.134,83.125
20.2,3548.134,72.5
20.4,3548.134,49.375
20.6,3548.134,32.5
20.8,3548.134,16.25
21.0,3548.134,18.75
21.2,3548.134,7.5
21.4,3548.134,10.0
21.6,3548.134,5.0
21.8,3548.134,5.0
22.0,3548.134,5.0
22.2,3548.134,1.875
22.4,3548.134,0.625
15.4,8912.509,96.25
15.6,8912.509,96.875
15.8,8912.509,98.125
16.0,8912.509,97.5
16.2,8912.509,98.75
16.4,8912.509,96.875
16.6,8912.509,98.125
16.8,8912.509,97.5
17.0,8912.509,96.25
17.2,8912.509,98.125
17.4,8912.509,97.5
17.6,8912.509,97.5
17.8,8912.509,97.5
18.0,8912.509,96.25
18.2,8912.509,98.75
18.4,8912.509,96.875
18.6,8912.509,95.0
18.8,8912.509,93.125
19.0,8912.509,96.25
19.2,8912.509,91.25
19.4,8912.509,92.5
19.6,8912.509,88.75
19.8,8912.509,88.125
20.0,8912.509,81.875
20.2,8912.509,57.5
20.4,8912.509,38.125
20.6,8912.509,28.125
20.8,8912.509,20.625
21.0,8912.509,10.0
21.2,8912.509,10.0
21.4,8912.509,6.875
21.6,8912.509,7.5
21.8,8912.509,6.25
22.0,8912.509,1.875
22.2,8912.509,4.375
22.4,8912.509,3.75
15.4,28183.829,98.75
15.6,28183.829,97.5
15.8,28183.829,96.875
16.0,28183.829,97.5
16.2,28183.829,97.5
16.4,28183.829,97.5
16.6,28183.829,95.0
16.8,28183.829,96.875
17.0,28183.829,97.5
17.2,28183.829,97.5
17.4,28183.829,96.875
17.6,28183.829,97.5
17.8,28183.829,97.5
18.0,28183.829,93.125
18.2,28183.829,96.875
18.4,28183.829,96.875
18.6,28183.829,95.0
18.8,28183.829,97.5
19.0,28183.829,96.875
19.2,28183.829,95.0
19.4,28183.829,95.625
19.6,28183.829,90.625
19.8,28183.829,78.75
20.0,28183.829,65.625
20.2,28183.829,46.25
20.4,28183.829,21.875
20.6,28183.829,15.625
20.8,28183.829,11.25
21.0,28183.829,10.0
21.2,28183.829,5.0
21.4,28183.829,5.0
21.6,28183.829,5.0
21.8,28183.829,4.375
22.0,28183.829,4.375
22.2,28183.829,3.75
22.4,28183.829,3.75
15.4,100000.0,98.75
15.6,100000.0,95.625
15.8,100000.0,99.375
16.0,100000.0,96.25
16.2,100000.0,96.875
16.4,100000.0,98.75
16.6,100000.0,96.875
16.8,100000.0,98.125
17.0,100000.0,96.25
17.2,100000.0,96.875
17.4,100000.0,99.375
17.6,100000.0,95.625
17.8,100000.0,94.375
