mag,rho,eff_rd
20.0,100000.0,35.0
20.2,100000.0,30.0
20.4,100000.0,20.0
20.6,100000.0,13.75
20.8,100000.0,10.0
21.0,100000.0,5.0
21.2,100000.0,2.5
21.4,100000.0,1.25
21.6,100000.0,5.0
21.8,100000.0,2.5
22.0,100000.0,2.5
22.2,100000.0,1.25
22.4,100000.0,5.0
16.8,398107.171,97.5
17.0,398107.171,87.5
17.2,398107.171,97.5
17.4,398107.171,92.5
17.6,398107.171,92.5
17.8,398107.171,95.0
18.0,398107.171,95.0
18.2,398107.171,92.5
18.4,398107.171,95.0
18.6,398107.171,87.5
18.8,398107.171,90.0
19.0,398107.171,92.5
19.2,398107.171,87.5
19.4,398107.171,77.5
19.6,398107.171,87.5
19.8,398107.171,52.5
20.0,398107.171,20.0
20.2,398107.171,22.5
20.4,398107.171,20.0
20.6,398107.171,7.5
20.8,398107.171,7.5
21.0,398107.171,5.0
21.2,398107.171,5.0
21.4,398107.171,2.5
21.6,398107.171,0.0
21.8,398107.171,2.5
22.0,398107.171,2.5
22.2,398107.171,0.0
22.4,398107.171,2.5
16.8,1995262.315,95.0
17.0,1995262.315,97.5
17.2,1995262.315,97.5
17.4,1995262.315,97.5
17.6,1995262.315,95.0
17.8,1995262.315,97.5
18.0,1995262.315,97.5
18.2,1995262.315,90.0
18.4,1995262.315,97.5
18.6,1995262.315,100.0
18.8,1995262.315,92.5
19.0,1995262.315,72.5
19.2,1995262.315,82.5
19.4,1995262.315,75.0
19.6,1995262.315,52.5
19.8,1995262.315,35.0
20.0,1995262.315,12.5
20.2,1995262.315,15.0
20.4,1995262.315,10.0
20.6,1995262.315,5.0
20.8,1995262.315,7.5
21.0,1995262.315,5.0
21.2,1995262.315,5.0
21.4,1995262.315,2.5
21.6,1995262.315,2.5
21.8,1995262.315,0.0
22.0,1995262.315,2.5
22.2,1995262.315,2.5
22.4,1995262.315,2.5
16.8,11220184.543,90.0
17.0,11220184.543,90.0
17.2,11220184.543,100.0
17.4,11220184.543,100.0
17.6,11220184.543,97.5
17.8,11220184.543,92.5
18.0,11220184.543,97.5
18.2,11220184.543,87.5
18.4,11220184.543,92.5
18.6,11220184.543,90.0
18.8,11220184.543,90.0
19.0,11220184.543,80.0
19.2,11220184.543,72.5
19.4,11220184.543,60.0
19.6,11220184.543,30.0
19.8,11220184.543,20.0
20.0,11220184.543,15.0
20.2,11220184.543,17.5
20.4,11220184.543,5.0
20.6,11220184.543,2.5
20.8,11220184.543,5.0
21.0,11220184.543,0.0
21.2,11220184.543,2.5
21.4,11220184.543,2.5
21.6,11220184.543,0.0
21.8,11220184.543,0.0
22.0,11220184.543,0.0
22.2,11220184.543,0.0
22.4,11220184.543,2.5
16.8,79432823.472,97.5
17.0,79432823.472,95.0
17.2,79432823.472,95.0
17.4,79432823.472,90.0
17.6,79432823.472,97.5
17.8,79432823.472,90.0
18.0,79432823.472,90.0
18.2,79432823.472,97.5
18.4,79432823.472,97.5
18.6,79432823.472,82.5
18.8,79432823.472,85.0
19.0,79432823.472,65.0
19.2,79432823.472,62.5
19.4,79432823.472,32.5
19.6,79432823.472,17.5
19.8,79432823.472,20.0
20.0,79432823.472,10.0
20.2,79432823.472,5.0
20.4,79432823.472,0.0
20.6,79432823.472,0.0
20.8,79432823.472,0.0
21.0,79432823.472,2.5
21.2,79432823.472,5.0
21.4,79432823.472,2.5
21.6,79432823.472,5.0
21.8,79432823.472,10.0
22.0,79432823.472,0.0
22.2,79432823.472,0.0
22.4,79432823.472,0.0
16.8,794328234.724,97.5
17.0,794328234.724,97.5
17.2,794328234.724,97.5
17.4,794328234.724,95.0
17.6,794328234.724,95.0
17.8,794328234.724,85.0
18.0,794328234.724,92.5
18.2,794328234.724,87.5
18.4,794328234.724,85.0
18.6,794328234.724,82.5
18.8,794328234.724,72.5
19.0,794328234.724,55.0
19.2,794328234.724,42.5
19.4,794328234.724,27.5
19.6,794328234.724,10.0
19.8,794328234.724,5.0
20.0,794328234.724,7.5
20.2,794328234.724,5.0
20.4,794328234.724,2.5
20.6,794328234.724,0.0
20.8,794328234.724,5.0
21.0,794328234.724,2.5
21.2,794328234.724,0.0
21.4,794328234.724,0.0
21.6,794328234.724,5.0
21.8,794328234.724,0.0
22.0,794328234.724,0.0
22.2,794328234.724,0.0
22.4,794328234.724,0.0
16.8,10000000000.0,100.0
17.0,10000000000.0,97.5
17.2,10000000000.0,90.0
17.4,10000000000.0,95.0
17.6,10000000000.0,95.0
17.8,10000000000.0,97.5
18.0,10000000000.0,90.0
18.2,10000000000.0,87.5
18.4,10000000000.0,92.5
18.6,10000000000.0,77.5
18.8,10000000000.0,65.0
19.0,10000000000.0,47.5
19.2,10000000000.0,30.0
19.4,10000000000.0,17.5
19.6,10000000000.0,20.0
19.8,10000000000.0,7.5
20.0,10000000000.0,10.0
20.2,10000000000.0,0.0
20.4,10000000000.0,2.5
20.6,10000000000.0,2.5
20.8,10000000000.0,7.5
21.0,10000000000.0,2.5
21.2,10000000000.0,2.5
21.4,10000000000.0,2.5
21.6,10000000000.0,0.0
21.8,10000000000.0,0.0
22.0,10000000000.0,0.0
22.2,10000000000.0,0.0
22.4,10000000000.0,0.0
16.8,158489319246.111,97.5
17.0,158489319246.111,100.0
17.2,158489319246.111,92.5
17.4,158489319246.111,92.5
17.6,158489319246.111,92.5
17.8,158489319246.111,92.5
18.0,158489319246.111,97.5
18.2,158489319246.111,80.0
18.4,158489319246.111,82.5
18.6,158489319246.111,57.5
18.8,158489319246.111,42.5
19.0,158489319246.111,47.5
19.2,158489319246.111,12.5
19.4,158489319246.111,15.0
19.6,158489319246.111,7.5
19.8,158489319246.111,10.0
20.0,158489319246.111,7.5
20.2,158489319246.111,0.0
20.4,158489319246.111,2.5
20.6,158489319246.111,2.5
20.8,158489319246.111,2.5
21.0,158489319246.111,2.5
21.2,158489319246.111,2.5
21.4,158489319246.111,2.5
21.6,158489319246.111,0.0
21.8,158489319246.111,0.0
22.0,158489319246.111,0.0
22.2,158489319246.111,0.0
22.4,158489319246.111,0.0
16.8,3548133892335.76,97.5
17.0,3548133892335.76,95.0
17.2,3548133892335.76,95.0
17.4,3548133892335.76,100.0
17.6,3548133892335.76,90.0
17.8,3548133892335.76,95.0
18.0,3548133892335.76,80.0
18.2,3548133892335.76,72.5
18.4,3548133892335.76,65.0
18.6,3548133892335.76,37.5
18.8,3548133892335.76,27.5
19.0,3548133892335.76,20.0
19.2,3548133892335.76,17.5
19.4,3548133892335.76,2.5
19.6,3548133892335.76,2.5
19.8,3548133892335.76,2.5
20.0,3548133892335.76,2.5
20.2,3548133892335.76,10.0
20.4,3548133892335.76,5.0
20.6,3548133892335.76,0.0
20.8,3548133892335.76,2.5
21.0,3548133892335.76,5.0
21.2,3548133892335.76,2.5
21.4,3548133892335.76,0.0
21.6,3548133892335.76,0.0
21.8,3548133892335.76,0.0
22.0,3548133892335.76,0.0
22.2,3548133892335.76,0.0
22.4,3548133892335.76,0.0
16.8,125892541179416.62,97.5
17.0,125892541179416.62,92.5
17.2,125892541179416.62,90.0
17.4,125892541179416.62,87.5
17.6,125892541179416.62,95.0
17.8,125892541179416.62,72.5
18.0,125892541179416.62,85.0
18.2,125892541179416.62,62.5
18.4,125892541179416.62,32.5
18.6,125892541179416.62,22.5
18.8,125892541179416.62,20.0
19.0,125892541179416.62,15.0
19.2,125892541179416.62,7.5
19.4,125892541179416.62,5.0
19.6,125892541179416.62,0.0
19.8,125892541179416.62,0.0
20.0,125892541179416.62,10.0
20.2,125892541179416.62,0.0
20.4,125892541179416.62,0.0
20.6,125892541179416.62,0.0
20.8,125892541179416.62,0.0
21.0,125892541179416.62,0.0
21.2,125892541179416.62,0.0
21.4,125892541179416.62,0.0
21.6,125892541179416.62,0.0
21.8,125892541179416.62,0.0
22.0,125892541179416.62,0.0
22.2,125892541179416.62,0.0
22.4,125892541179416.62,0.0
16.8,6309573444801943.0,97.5
17.0,6309573444801943.0,92.5
17.2,6309573444801943.0,95.0
17.4,6309573444801943.0,80.0
17.6,6309573444801943.0,82.5
17.8,6309573444801943.0,80.0
18.0,6309573444801943.0,60.0
18.2,6309573444801943.0,40.0
18.4,6309573444801943.0,35.0
18.6,6309573444801943.0,20.0
18.8,6309573444801943.0,5.0
19.0,6309573444801943.0,5.0
19.2,6309573444801943.0,10.0
19.4,6309573444801943.0,0.0
19.6,6309573444801943.0,0.0
19.8,6309573444801943.0,0.0
20.0,6309573444801943.0,2.5
20.2,6309573444801943.0,2.5
20.4,6309573444801943.0,2.5
20.6,6309573444801943.0,2.5
20.8,6309573444801943.0,0.0
21.0,6309573444801943.0,0.0
21.2,6309573444801943.0,0.0
21.4,6309573444801943.0,0.0
21.6,6309573444801943.0,0.0
21.8,6309573444801943.0,0.0
22.0,6309573444801943.0,0.0
22.2,6309573444801943.0,0.0
22.4,6309573444801943.0,0.0
16.8,5.6234132519034906e+17,97.5
17.0,5.6234132519034906e+17,92.5
17.2,5.6234132519034906e+17,97.5
17.4,5.6234132519034906e+17,85.0
17.6,5.6234132519034906e+17,80.0
17.8,5.6234132519034906e+17,65.0
18.0,5.6234132519034906e+17,47.5
18.2,5.6234132519034906e+17,30.0
18.4,5.6234132519034906e+17,17.5
18.6,5.6234132519034906e+17,2.5
