mag,rho,eff_rd
19.6,56.234,92.5
19.8,56.234,85.0
20.0,56.234,87.5
20.2,56.234,81.25
20.4,56.234,72.5
20.6,56.234,72.5
20.8,56.234,58.75
21.0,56.234,33.75
21.2,56.234,28.75
21.4,56.234,21.25
21.6,56.234,8.75
21.8,56.234,5.0
22.0,56.234,8.75
22.2,56.234,3.75
22.4,56.234,7.5
16.4,100.0,95.0
16.6,100.0,90.0
16.8,100.0,92.5
17.0,100.0,96.25
17.2,100.0,92.5
17.4,100.0,92.5
17.6,100.0,93.75
17.8,100.0,92.5
18.0,100.0,90.0
18.2,100.0,93.75
18.4,100.0,96.25
18.6,100.0,96.25
18.8,100.0,86.25
19.0,100.0,88.75
19.2,100.0,92.5
19.4,100.0,93.75
19.6,100.0,90.0
19.8,100.0,88.75
20.0,100.0,83.75
20.2,100.0,80.0
20.4,100.0,76.25
20.6,100.0,62.5
20.8,100.0,43.75
21.0,100.0,31.25
21.2,100.0,23.75
21.4,100.0,17.5
21.6,100.0,13.75
21.8,100.0,7.5
22.0,100.0,5.0
22.2,100.0,7.5
22.4,100.0,3.75
16.4,177.828,93.75
16.6,177.828,91.25
16.8,177.828,95.0
17.0,177.828,92.5
17.2,177.828,95.0
17.4,177.828,95.0
17.6,177.828,98.75
17.8,177.828,90.0
18.0,177.828,95.0
18.2,177.828,90.0
18.4,177.828,95.0
18.6,177.828,90.0
18.8,177.828,88.75
19.0,177.828,92.5
19.2,177.828,91.25
19.4,177.828,90.0
19.6,177.828,86.25
19.8,177.828,80.0
20.0,177.828,81.25
20.2,177.828,80.0
20.4,177.828,72.5
20.6,177.828,65.0
20.8,177.828,48.75
21.0,177.828,30.0
21.2,177.828,13.75
21.4,177.828,11.25
21.6,177.828,8.75
21.8,177.828,10.0
22.0,177.828,7.5
22.2,177.828,7.5
22.4,177.828,5.0
16.4,316.228,93.75
16.6,316.228,93.75
16.8,316.228,92.5
17.0,316.228,93.75
17.2,316.228,92.5
17.4,316.228,93.75
17.6,316.228,92.5
17.8,316.228,98.75
18.0,316.228,91.25
18.2,316.228,96.25
18.4,316.228,91.25
18.6,316.228,91.25
18.8,316.228,86.25
19.0,316.228,87.5
19.2,316.228,91.25
19.4,316.228,93.75
19.6,316.228,88.75
19.8,316.228,81.25
20.0,316.228,77.5
20.2,316.228,70.0
20.4,316.228,63.75
20.6,316.228,58.75
20.8,316.228,36.25
21.0,316.228,17.5
21.2,316.228,15.0
21.4,316.228,15.0
21.6,316.228,7.5
21.8,316.228,6.25
22.0,316.228,6.25
22.2,316.228,5.0
22.4,316.228,0.0
16.4,630.957,96.25
16.6,630.957,97.5
16.8,630.957,93.75
17.0,630.957,93.75
17.2,630.957,93.75
17.4,630.957,90.0
17.6,630.957,92.5
17.8,630.957,92.5
18.0,630.957,95.0
18.2,630.957,90.0
18.4,630.957,92.5
18.6,630.957,93.75
18.8,630.957,86.25
19.0,630.957,81.25
19.2,630.957,85.0
19.4,630.957,95.0
19.6,630.957,90.0
19.8,630.957,83.75
